Ticker,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
NSC,146.96,110.64,81.81,109.15,91.31,63.29,75.05,63.73,52.59,49.07,49.41,48.41,43.55,35.53,23.93
NTRS,99.46,90.49,70.59,67.55,60.89,51.81,40.61,55.93,52.53,53.22,74.06,60.77,52.24,47.44,46.18
NVDA,199.35,104.39,32.37,20.13,15.86,12.72,14.2,15.82,18.49,8.71,33.01,23.94,13.1,7.86,5.13
NVR,3529.61,1678.77,1555.66,1251.99,1017.1,930.13,705.01,685,712.67,450.94,515.05,603.5,715,741.52,432.75
NWL,31.64,46.51,43.44,37.86,32.18,22.61,16.27,18.26,15.2,10.52,25.28,29.13,24.06,24.02,22.64
ORCL,46.63,38.74,35.75,44.33,37.84,34.69,26.01,31.62,24.85,18.41,22.49,17.68,12.62,13.41,13.14
PAYX,67.31,61.29,51.55,46.24,45.06,31.85,30.23,31.39,30.82,26.94,34.99,40.01,38.96,33.4,36.84
PBCT,18.8,19.6,15.77,15.15,15.01,12.44,13.16,14.09,16.75,17.79,17.37,21.19,15.17,12.12,6.9
PCAR,73.02,66.22,47.16,68.15,58.51,46.54,38.65,57.84,36.61,30.88,52.98,43.07,31.8,35.04,24.87
PFE,36.44,33.29,31.95,31.33,30.46,25.91,21.77,17.68,18.93,18.27,22.91,26.38,24.55,26.45,35.55
PGR,55.36,35.85,31.12,27.04,24.29,19.72,17.51,18.28,16.39,13.72,16.8,22.03,26.37,19.9,18.73
PH,199.88,142.64,96.66,129.16,127.24,87.66,78.5,87.53,54.52,45.16,71.28,50.79,45.7,49.79,39.74
PHM,33.37,18.99,17.16,21.26,20.08,18.6,6.54,7.78,10.24,11.17,10.42,31.91,40.89,31.62,22.74
PKI,73.91,53.3,52.43,44.09,40.94,32.09,20.37,25.9,20.64,14.17,25.53,21.58,24.01,22.09,17.55
PNC,144.62,118.97,93.16,90.82,76.6,59.54,59.22,61.46,53.51,48.59,64.73,74.96,63.96,56.57,54.49
PRGO,89.69,87.23,142.5,166.63,153.1,106.71,95.09,63.71,40.35,31.62,34,17.71,15.21,16.99,15.88
QCOM,65.2,65.47,50.12,74.28,73.32,64.75,55.83,50.18,46.94,37.05,38.39,39.15,45.43,42.32,26.81
RCL,120.38,84.5,98.14,82.95,47.17,35.39,26.12,47.73,25.8,14.96,41.3,43.8,44.8,54.15,34.99
RE,216.47,217.8,181.08,168.82,151.07,111.2,83.35,85.2,85.45,76.54,98.62,98.92,101.05,88.53,83.81
REGN,382.6,383.11,516.55,410.16,274.59,181.2,57.83,33.82,24.63,18.7,23.56,20.18,15.92,9.04,15.05
RF,17.37,14.62,9.44,10.51,9.89,7.31,4.34,7.07,5.42,8.61,23.28,37.84,34.55,35.25,29.68
RHI,55.91,50.91,46.14,57.88,41.37,32.56,28.49,30.96,27.12,21.35,25.56,38.87,37.41,28.55,23.68
RJF,88.86,72.31,56.34,57.15,51.55,39.98,32,33.01,24.27,18.01,31.96,30.6,26.05,20.36,16.5
RL,104.88,90.62,111.56,183.1,175.37,152.1,142.88,111.69,81.56,47.43,61.64,80.63,55.8,41.8,28.69
RMD,85.53,62.35,52.21,57.17,46.2,42.48,24.98,35.02,26.4,19.19,25.66,24.91,19.23,12.7,10.5
ROK,197.66,137.96,101.52,111.04,116.38,86.09,76.34,75.11,47.73,34.04,66.68,60.15,60.71,48.75,34.7
ROP,260.56,185.29,186.51,156.62,138.08,114.48,88.02,77.06,52.54,44.8,61.01,49.6,40,30.03,25.01
ROST,80.5,66.55,54.37,46.87,37.14,27.22,23.81,15.97,10.67,7.7,6.25,7.8,7.42,6.93,6.53
RSG,66.58,56.97,43.14,40.57,32.96,29.53,27.4,30.05,28.68,25.07,30.64,27.59,25.63,22.15,17.37
SBUX,57.63,55.99,58.26,40.72,38.59,27.5,23.09,16.63,11.53,4.92,9.65,17.65,15.84,15.29,8.23
SCHW,51.44,41.22,31.98,30.22,25.82,15.08,11.73,17.5,19.78,16.18,24.58,19.61,15.69,11.66,11.68
SNA,176.89,172.77,168.53,136.29,108.55,80.86,51.12,57.97,42.86,41.1,46.94,47.75,38.89,34.26,31.8
SNPS,86.03,59.57,44.92,43.1,40.42,32.28,26.49,26.99,22.44,18.93,25.2,26.9,20.85,19.41,33.67
STI,64.86,56.14,41.58,41.73,36.52,29.26,18.66,30.24,20.44,29.92,60.49,83.95,74.82,72.79,70.7
STT,96.72,82.27,65.14,78.35,73.16,48.32,41.3,47.62,44.46,41.1,78.88,68.61,57.15,48.71,51.51
SYK,157.9,120.1,90.02,93.99,74.63,55.88,51.25,54.58,52.16,41.31,73.6,55.6,45.37,48.25,41.88
TDG,275.11,252.05,229.86,197.75,159.57,140,93.13,73.75,49.4,33.45,45.14,26.59,26.59,26.59,26.59
TEL,95.32,68.67,63.44,63.17,54.45,38.06,31.57,36.24,25.03,17.23,36.77,36.77,36.77,36.77,36.77
TGT,67.63,73.81,73.55,75.33,63.18,58.82,50,60.77,48.55,34.63,49.51,57.59,54.65,51.8,37.72
TIF,106.43,79.26,74.52,105.5,92.55,58.93,66.79,61.78,43.99,25.54,43.95,39.07,38.21,31.6,43.55
